"","Year","Produit intérieur brut (PIB)","Importations de biens et de services","Dépense de consommation finale","  ménages","  administrations publiques...6","Formation brute de capital fixe","  sociétés et entreprises individuelles non financières","  administrations publiques...9","  ménages hors entrepreneurs individuels","Exportations de biens et de services","Demande intérieure hors stocks","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","Value","Flag.Codes"
"34",1983,1215.34868707077,157.926060332668,962.70310845115,647.6629086838,295.622651325126,255.232177017614,116.541475395419,50.0934199986835,92.5356002666668,164.01073415571,1218.90470736888,"FRA","LTINT","TOT","PC_PA","A",14.36833,""
"35",1984,1233.74551579564,163.297565526795,973.047360374734,652.091474567405,301.955578051762,253.09626865429,116.599513995689,50.0855718050399,88.5603119930751,175.11556810286,1227.00597470015,"FRA","LTINT","TOT","PC_PA","A",13.40417,""
"36",1985,1253.76700687898,171.045140111562,994.09132517792,664.513379348681,310.722935913518,258.935771880189,121.334710826813,53.2019278935046,84.9501050417556,178.818328496916,1254.10199284508,"FRA","LTINT","TOT","PC_PA","A",11.86667,""
"37",1986,1283.07049742822,182.444716986225,1027.58846509597,689.353630989016,318.939109433258,269.77046743817,128.479741327653,54.8666424348878,85.6854625096723,177.089179676627,1298.66750340304,"FRA","LTINT","TOT","PC_PA","A",9.119166,"B"
"38",1987,1315.94159209319,196.442380276545,1059.85123611469,711.735671107235,327.852145244762,283.681723828766,136.348701888346,57.4450199249918,88.4655164618174,182.038780718209,1345.08453915881,"FRA","LTINT","TOT","PC_PA","A",9.478625,""
"39",1988,1378.35913549413,213.029053531181,1095.56872718304,735.04762369411,339.310414466818,308.326823984871,149.115655875137,63.4757875126835,93.3085372766149,197.442714624872,1406.12074092868,"FRA","LTINT","TOT","PC_PA","A",9.084046,""
"40",1989,1438.23257317251,230.21671539735,1124.89753239722,758.335233474471,344.002149162813,331.03567526155,161.837913975762,66.3609670175569,100.725414815961,216.748181381324,1458.9698924537,"FRA","LTINT","TOT","PC_PA","A",8.796062,""
"41",1990,1480.28579806315,241.824684578962,1156.04931380515,777.528669695354,355.051890658852,346.29273949515,172.27083659377,70.5205770871275,99.3032634744579,225.734390961824,1505.72901836841,"FRA","LTINT","TOT","PC_PA","A",9.932111,""
"42",1991,1495.80186103205,248.973209697217,1172.74801376973,781.92532493475,367.506877539379,344.442530938042,172.696472159977,72.7750557804957,92.5868084805333,239.903563945012,1520.47359502302,"FRA","LTINT","TOT","PC_PA","A",9.038341,""
"43",1992,1519.72491574001,253.372125367615,1193.02320224583,789.207899587158,379.507458468845,339.321334716504,169.914049335838,74.4010822928052,88.0771586959876,254.177658701663,1535.35869182531,"FRA","LTINT","TOT","PC_PA","A",8.587873,""
"44",1993,1510.17103060853,244.962144720374,1204.6141546954,788.569303866025,392.870692806596,320.869095521015,158.012704003438,71.9329292342659,83.9679491011947,255.180657119122,1528.44833788355,"FRA","LTINT","TOT","PC_PA","A",6.774994,""
"45",1994,1545.78647612559,266.671843263664,1220.04548371457,801.315680226704,394.240212839432,325.860170012212,161.466461613652,72.1136663168017,87.3104825526053,276.001222914404,1548.8645708363,"FRA","LTINT","TOT","PC_PA","A",7.213776,""
"46",1995,1578.35081129548,286.732866468705,1234.82828619683,813.997447888867,394.243376081074,330.192202965345,165.299798118956,69.5489627749743,88.7819665237673,300.439088373103,1568.0751385164,"FRA","LTINT","TOT","PC_PA","A",7.534972,""
"47",1996,1600.65284536656,293.746406530585,1260.39183581739,829.221748199674,403.427998516974,332.674080084684,166.012895488211,69.9110725259561,89.195053643675,313.261792548593,1596.26599164669,"FRA","LTINT","TOT","PC_PA","A",6.312129,""
"48",1997,1638.04936785259,317.174167823344,1268.98481734574,833.768252177747,407.540331384009,335.298141335692,168.230888999971,66.0890334304056,92.4624428580195,354.109136941578,1607.63076595136,"FRA","LTINT","TOT","PC_PA","A",5.58251,""
"49",1998,1696.83288803747,354.918619698883,1301.69334566986,866.776060594171,404.769117845231,356.790240296086,182.044792027031,66.6571533342253,96.9823953136442,385.314891620557,1661.61896047224,"FRA","LTINT","TOT","PC_PA","A",4.640211,""
"50",1999,1754.88752009421,379.588241018819,1339.49090459354,896.8061352292,411.111893112693,384.765828694623,197.534576990212,70.0208371676301,104.458451620577,405.012041621184,1726.83921464724,"FRA","LTINT","TOT","PC_PA","A",4.608787,""
"51",2000,1823.7442616065,437.867606732943,1381.18683732946,929.348097640704,418.521968304997,410.341843081143,210.1533690155,76.68411480232,108.402055057571,457.199763585484,1793.59125071328,"FRA","LTINT","TOT","PC_PA","A",5.39447,""
"52",2001,1859.92209746385,448.296874779524,1409.96729994646,952.233869232681,422.851945769381,419.67648049914,218.279151404205,76.7848065081998,109.252415099063,471.246466229467,1831.45588544345,"FRA","LTINT","TOT","PC_PA","A",4.93946,""
"53",2002,1881.04228926698,457.018781601044,1438.16773291113,969.751538419172,430.459725378532,415.826448675784,212.627481518162,77.0399922916759,112.282403512864,480.658696334258,1856.01526933513,"FRA","LTINT","TOT","PC_PA","A",4.861222,""
"54",2003,1896.52558094067,461.102820896874,1461.43218519642,985.850409447847,438.775604208074,423.806054861137,212.89907994196,80.4236789146323,115.19294379464,476.049918416715,1886.91869243877,"FRA","LTINT","TOT","PC_PA","A",4.130888,""
"55",2004,1950.19339825046,489.709467638111,1490.95384541513,1006.31310182097,448.347686272669,438.555260371204,219.618222722119,83.2031537506989,119.812063674728,501.557012055231,1931.02120169018,"FRA","LTINT","TOT","PC_PA","A",4.099166,""
"56",2005,1982.62866635191,520.659837613675,1521.85363004677,1031.34996742209,454.008658105235,451.271100311322,226.216324110415,85.0025393323968,125.05742508583,521.497434967023,1974.56401781684,"FRA","LTINT","TOT","PC_PA","A",3.409432,""
"57",2006,2031.19009154065,549.820299035469,1550.84633498544,1053.4519583564,460.106722966693,467.721501085688,235.013000647928,83.92630271497,131.426469706404,552.774833338865,2019.62388505576,"FRA","LTINT","TOT","PC_PA","A",3.795732,""
"58",2007,2080.44116581176,581.465919118661,1587.99265961372,1080.68760741332,468.470792238473,493.60821699068,256.00587633533,85.6605327263239,134.772830873352,568.204375159531,2082.28815568787,"FRA","LTINT","TOT","PC_PA","A",4.3032,""
