nace_r2,indic_sb,geo\time	2015 	2012 	2009 
B061,V15441,PT	0.0 	0.0 	0.0 
B061,V15441,RO	: c	: c	: c
B061,V15441,SI	0.0 	0.0 	0.0 
B061,V15441,SK	0.0 	0.0 	0.0 
B061,V15441,UK	: c	158.6 	85.2 
B0610,V15420,AT	: c	: c	: c
B0610,V15420,BE	0.0 	0.0 	0.0 
B0610,V15420,BG	: c	: c	: c
B0610,V15420,CY	0.0 	0.0 	0.0 
B0610,V15420,CZ	: c	: c	: c
B0610,V15420,DE	0.0 	0.0 	: c
B0610,V15420,EE	: c	: c	: c
B0610,V15420,EL	0.0 b	: c	0.0 
B0610,V15420,ES	: c	0.3 	: c
B0610,V15420,FI	0.0 	0.0 	0.0 
B0610,V15420,HR	0.0 	0.0 	0.0 
B0610,V15420,HU	0.0 	0.0 	0.0 
B0610,V15420,IE	: c	0.0 	: c
B0610,V15420,IT	0.0 	0.0 	: c
B0610,V15420,LT	0.0 	0.0 	0.0 
B0610,V15420,LU	0.0 	0.0 	0.0 
B0610,V15420,LV	0.0 	0.0 	0.0 
B0610,V15420,MT	0.0 	0.0 	0.0 
B0610,V15420,NL	: c	: c	: c
B0610,V15420,NO	: 	: c	510.1 
B0610,V15420,PL	: cd	: 	: cd
B0610,V15420,PT	0.0 	0.0 	0.0 
B0610,V15420,RO	: c	: c	: c
B0610,V15420,SI	0.0 	0.0 	0.0 
B0610,V15420,SK	0.0 	0.0 	0.0 
B0610,V15420,UK	: c	: c	: c
B0610,V15441,AT	: c	: c	: c
B0610,V15441,BE	0.0 	0.0 	0.0 
B0610,V15441,BG	0.0 	0.0 	: c
B0610,V15441,CY	0.0 	0.0 	0.0 
B0610,V15441,CZ	: c	: c	: c
B0610,V15441,DE	0.0 	0.0 	: c
B0610,V15441,DK	: u	: 	: 
B0610,V15441,EE	: c	: c	: c
B0610,V15441,EL	0.1 b	: c	: c
B0610,V15441,ES	: c	0.1 	: c
B0610,V15441,FI	0.0 	0.0 	0.0 
B0610,V15441,HR	0.0 	0.0 	0.0 
B0610,V15441,HU	0.0 	0.0 	0.0 
B0610,V15441,IE	: c	0.0 	: c
B0610,V15441,IT	0.5 	0.2 	: c
B0610,V15441,LT	0.0 	0.0 	0.0 
B0610,V15441,LU	0.0 	0.0 	0.0 
B0610,V15441,LV	0.0 	0.0 	0.0 
B0610,V15441,MT	0.0 	0.0 	0.0 
B0610,V15441,NL	: c	: c	: c
B0610,V15441,NO	0.5 	: c	0.0 
B0610,V15441,PL	0.0 d	: 	: cd
B0610,V15441,PT	0.0 	0.0 	0.0 
B0610,V15441,RO	: c	: c	: c
B0610,V15441,SI	0.0 	0.0 	0.0 
B0610,V15441,SK	0.0 	0.0 	0.0 
B0610,V15441,UK	: c	158.6 	85.2 
B062,V15420,AT	0.0 	0.0 	0.0 
B062,V15420,BE	0.0 	0.0 	0.0 
B062,V15420,BG	: c	: c	0.0 
B062,V15420,CY	0.0 	0.0 	0.0 
B062,V15420,CZ	: c	: c	: c
B062,V15420,DE	: c	0.0 	: c
B062,V15420,EE	0.0 	0.0 	0.0 
B062,V15420,EL	: b	: 	: 
B062,V15420,ES	: c	: c	: c
B062,V15420,FI	0.0 	0.0 	0.0 
B062,V15420,HR	: c	: c	: c
B062,V15420,HU	0.0 	0.0 	0.0 
B062,V15420,IE	: c	: c	: c
B062,V15420,IT	0.0 	0.0 	: c
B062,V15420,LT	0.0 	0.0 	0.0 
B062,V15420,LU	0.0 	0.0 	0.0 
B062,V15420,LV	0.0 	0.0 	0.0 
B062,V15420,MT	0.0 	0.0 	0.0 
B062,V15420,NL	: c	: c	: c
B062,V15420,NO	: 	: c	: c
B062,V15420,PL	: cd	: 	0.0 d
B062,V15420,PT	0.0 	0.0 	0.0 
B062,V15420,RO	: c	: c	: c
B062,V15420,SI	: c	0.0 	: c
B062,V15420,SK	0.0 	0.0 	: c
B062,V15420,UK	: c	0.0 	0.0 
B062,V15441,AT	0.0 	0.0 	0.0 
B062,V15441,BE	0.0 	0.0 	0.0 
B062,V15441,BG	0.0 	0.0 	0.0 
B062,V15441,CY	0.0 	0.0 	0.0 
B062,V15441,CZ	: c	: c	: c
B062,V15441,DE	5.3 	: c	: c
B062,V15441,DK	: u	: 	: 
B062,V15441,EE	0.0 	0.0 	0.0 
B062,V15441,EL	: b	: 	: 
B062,V15441,ES	: c	: c	: c
B062,V15441,FI	0.0 	0.0 	0.0 
B062,V15441,HR	: c	: c	: c
B062,V15441,HU	0.0 	0.0 	0.5 
B062,V15441,IE	: c	: c	: c
B062,V15441,IT	14.3 	6.1 	: c
B062,V15441,LT	0.0 	0.0 	0.0 
